new_words,seconds,arousal_trans,valence_trans,happy_trans,angry_trans,nervous_trans,sad_trans,seconds2_trans,arousal2_trans,valence2_trans,happy2_trans,angry2_trans,nervous2_trans,sad2_trans,valence_trans
s okay so well you,200,0,1,0,0,1,0,200,0,0,0,0,0,0,1
mentioned that a lot of korean citizens are against it and as a,205,0,1,0,0,1,0,205,0,0,0,0,0,0,1
as an evidence you showed the petition that number of the petitioners in foreign,210,0,1,0,0,1,0,210,0,0,0,0,0,0,1
against these refugees but i believe this issue is not,215,0,1,0,0,1,0,215,0,0,0,0,0,0,1
really a democratic issue that can be decided upon the popular theory votes it is the legal,220,0,1,0,0,1,0,220,0,0,0,0,0,0,1
right to be examined under a fair and justice law because it is a law we,225,0,1,0,0,1,0,225,0,0,0,0,0,0,1
i mean it is also kind of an international love me korea sign like several tens of years,230,0,1,0,0,1,0,230,0,0,0,0,0,0,1
ago and we promise to the international society that we are going,235,0,1,0,0,1,0,235,0,0,0,0,0,0,1
to accept the refugees in this or that cases so well i do,240,0,1,0,0,1,0,240,0,0,0,0,0,0,1
understand a lot of people are against the well there are a lot of like emotional or,245,0,1,0,0,1,0,245,0,0,0,0,0,0,1
emotional or personal personal feelings,250,0,1,0,0,1,0,250,0,0,0,0,0,0,1
against these refugees or in general against work for foreigners coming in,255,2,1,1,0,0,0,255,0,0,0,0,0,0,1
the country but well i think that's not really the issue in this case and,260,0,1,1,0,0,0,260,1,0,0,0,0,0,1
and also also well you,265,0,1,0,0,1,0,265,1,0,0,0,0,0,1
also mentioned that they're already legal legally residing two million foreign people,270,0,1,0,0,0,0,270,1,0,0,0,1,0,1
in south korea and what i want what i just want to mention is that they're not,275,0,1,0,0,0,0,275,1,0,0,0,0,0,1
illegal immigrants are just under a process so well it's not really,280,0,1,0,0,0,0,280,1,0,0,0,0,0,1
it's really hard to say very illegal he's just in the in between that process in between those,285,0,1,0,0,0,0,285,1,0,0,0,0,0,1
fetuses and well you also mentioned,290,0,1,0,0,0,0,290,0,0,0,0,0,0,1
about the responsibilities that the south korea doesn't hold the responsibility to take care of this,295,0,1,0,0,0,0,295,1,0,0,0,0,0,1
refugees but well let's go back to the represent convention,300,0,1,0,0,0,0,300,0,0,0,0,0,0,1
and we do have a responsibility for that right,305,0,1,0,0,0,0,305,1,0,0,0,0,0,1
so repeatedly you've mentioned the law but the agreement,310,0,1,0,0,0,0,310,1,0,0,0,1,0,1
that tree has signed impact in 1994 which is more than 20 years ago,315,0,1,0,0,0,0,315,1,0,0,0,0,0,1
and what we but i want to point out is that if this law,320,0,1,0,0,0,0,320,0,0,0,0,0,0,1
signed and if this was supposed to become an issue the government should not be responsible,325,0,1,0,0,0,0,325,0,0,0,0,0,0,1
to educate the people prior to this,330,0,1,0,0,0,0,330,1,0,0,0,1,0,1
disagreement happening so at this point people are not ready to accept the people,335,0,1,0,0,0,0,335,0,0,0,0,1,0,1
although the government has taken the choice to sign the agreement the,340,0,1,0,0,0,0,340,0,0,0,0,1,0,1
general population was not aware and the failure of the government to youtube operation educate the,345,0,1,0,0,0,0,345,0,0,0,0,0,0,1
population does not give it the right,350,0,1,0,0,0,0,350,0,0,0,0,0,0,1
to just go forward and do what they have done in the past but the young gender generation of we're not,355,0,1,0,0,0,0,355,0,0,0,0,1,0,1
aware of this issue and since back in 1994 over,360,0,1,0,0,0,0,360,0,0,0,0,1,0,1
"33,000 refugees had applied but only 2.4 percent",365,0,1,0,0,0,0,365,0,0,0,0,1,0,1
were accepted and right now the if the numbers were maintained,370,0,1,0,0,0,0,370,0,0,0,0,1,0,1
there was no problem in maintaining that particular acceptance rate if,375,0,1,0,0,1,0,375,0,0,0,0,0,0,1
he applied that acceptance rate to the current situation there should be no more problem although there's a sudden,380,0,1,0,0,1,0,380,0,0,0,0,0,0,1
influx or so that incoming of the large number at this year,385,0,1,0,0,1,0,385,0,0,0,0,0,0,1
last year we cannot accept more,390,0,1,0,0,1,0,390,0,0,0,0,0,0,1
than what he had done previously without a safe angry life,395,0,1,0,0,1,0,395,0,0,0,0,0,0,1
so well yeah i do,410,0,1,0,0,1,0,410,0,0,0,0,0,0,1
agree we do in in a sense that since we have already signed their confession,415,0,1,0,0,1,0,415,0,0,0,0,0,0,1
the government holds the responsibility to educate at least people,420,1,1,0,0,1,0,420,0,0,0,0,0,0,1
about these conventions and are the country's responsibility international,425,1,1,0,0,1,0,425,0,0,0,0,0,0,1
society about refugees yeah i mean because because government,430,0,1,0,0,1,0,430,0,0,0,0,0,0,1
lacks that i think that this kind of problem happens inside yeah well besides,435,1,1,0,0,1,0,435,0,0,0,0,0,0,1
that you mentioned about rate,440,0,1,0,0,1,0,440,0,0,0,0,0,0,1
of the two point two point four percent of the acceptance rate well i want to,445,0,1,0,0,1,0,445,0,0,0,0,0,0,1
mention a little bit different view point of this,450,0,1,0,0,1,0,450,0,0,0,0,0,0,1
well you said that it is really irregular,455,0,1,0,0,1,0,455,0,0,0,0,0,0,1
death sudden influx of romanian refugees in 2000 wait like 18 was really,460,0,1,0,0,1,0,460,0,0,0,0,0,0,1
an irregular but well in general refugees don't,465,0,1,0,0,1,0,465,0,0,0,0,0,0,1
have a choice of whether they want to go this country or that country just have an,470,0,1,1,0,1,0,470,0,0,0,0,0,0,1
urge to escape their country and usually in that process they apply for the contactable,475,0,1,1,0,0,0,475,0,0,0,0,1,0,1
curse and the book wasn't just a signpost okay i'll get this money and you just go that,480,2,1,0,0,0,0,480,0,0,0,0,1,0,1
country so well it's not really their choices of arriving to judge you allen and,485,0,1,0,0,0,0,485,0,0,0,0,1,0,1
in that case we do have to consider the humanitarian and their refugee status and,490,0,1,0,0,0,0,490,0,0,0,0,1,0,1
refugee status legally and lawfully in south korea,495,0,1,0,0,0,0,495,0,0,0,0,1,0,1
once again the,505,0,1,0,0,0,0,505,0,0,0,0,1,0,1
we repeat the point that there was a sudden increase of from 41,510,2,1,0,0,0,0,510,0,0,0,0,1,0,1
people to over 500 people refugees suddenly coming to korea,515,2,1,0,0,0,0,515,0,0,0,0,1,0,1
although we have maintained a very low make the acceptance rate and the brokers,520,0,1,0,0,0,0,520,0,0,0,0,1,0,1
should have been aware of that however they did not take responsibility in your in your,525,0,1,0,0,0,0,525,0,0,0,0,1,0,1
case according to what you mentioned so it's these people don't have,530,0,1,0,0,0,0,530,0,0,0,0,1,0,1
a choice but so does korea korea it's not ready,535,0,1,0,0,0,0,535,0,0,0,0,1,0,1
for accepting me more than two point four percent at the moment because currently again once again we,540,0,1,0,0,0,0,540,0,0,0,0,1,0,1
have not had strict policies about higher acceptance rates or in case,545,0,1,0,0,0,0,545,0,0,0,0,1,0,1
of sudden a incoming of a large number of people in the general,550,0,1,0,0,0,0,550,0,0,0,0,1,0,1
population was not aware,555,0,1,0,0,0,0,555,0,0,0,0,1,0,1
we are doing everything that is legal,560,0,1,0,0,1,0,560,0,0,0,0,1,0,1
in terms of examining the people and making sure that the right people,565,0,1,0,0,0,0,565,0,0,0,0,1,0,1
but you cannot say that the attitude of unpreparedness,570,0,1,0,0,0,0,570,0,0,0,0,1,0,1
it's wrong and that this is the natural reaction of the people in korea,575,0,1,0,0,0,0,575,0,0,0,0,1,0,1
you have to accept that i think,580,0,1,0,0,1,0,580,0,0,1,0,0,0,1
someone here are you,585,0,1,0,0,1,0,585,0,0,0,0,0,0,1
well since this is my final remarks i,600,0,1,0,0,1,0,600,0,0,0,0,0,0,1
just want to mention it briefly about the whole argument of myself so i do,605,0,1,0,0,1,0,605,0,0,0,0,0,0,1
think that we have to accept more i mean at least in this case you have to,610,0,1,0,0,1,0,610,0,0,0,0,0,0,1
accept or after the thorough examination we have to accept this romanian refugees arrived in jeju island,615,0,1,0,0,1,0,615,0,0,0,0,0,0,1
and well of course as i mentioned over and,620,0,1,0,0,1,0,620,0,0,0,0,0,0,1
over again it's all based on refugee convention as we have signed in 1994,625,0,1,0,0,1,0,625,0,0,0,0,0,0,1
it is our promise to the international society at that we are going to accept the refugees,630,0,1,0,0,1,0,630,0,0,0,0,0,0,1
then it is also it's not really one-sided it's intervene a fishery for example if something happens,635,0,1,0,0,1,0,635,0,0,0,0,0,0,1
in korea and if korean people is case south korea for,640,0,1,0,0,1,0,640,0,0,0,0,0,0,1
areas of different reasons about the threats well we redo,645,0,1,0,0,1,0,645,0,0,0,0,0,0,1
it's packed that other nations who scientists fashion except ourselves,650,0,1,0,0,1,0,650,0,0,0,0,0,0,1
as a refugee and just like we may accept,655,0,1,0,0,1,0,655,0,0,0,0,0,0,1
this your minion work which is right now in the southern coast of 2018 so yeah,660,0,1,0,0,1,0,660,0,0,0,0,0,0,1
i do urge them you have to assign more and more research has to this romanian refugees at least,665,0,1,0,0,1,0,665,0,0,0,0,0,0,1
and of course it should be all based on the legal legal boundary we have to,670,0,1,0,0,1,0,670,0,0,0,0,0,0,1
examine their urgent needs and whether they are really in threat in there,675,0,1,0,0,1,0,675,0,0,0,0,0,0,1
but yeah in that process those refugees,680,0,1,0,0,1,0,680,0,0,1,0,0,0,1
should be guaranteed those humanitarian issues like they're eating sand clothing,685,0,1,0,0,1,0,685,0,0,1,0,0,0,1
staff also lawful and fair processes,690,0,1,0,0,1,0,690,0,0,0,0,1,0,1
right overall once again i want to repeat that i'm,700,0,1,0,0,0,0,700,0,0,1,0,1,0,1
against accepting the refugees currently in jeju for entering america,705,0,1,0,0,0,0,705,0,0,1,0,1,0,1
and although the korea korea has signed a petition,710,0,1,0,0,0,0,710,1,0,1,0,1,0,1
accepting these refugees because i was also and us before and then,10,2,1,0,1,1,0,10,0,1,0,0,2,0,1
you know even even us it's one of the country that says a lot of refugees from other countries,15,2,1,0,1,1,0,15,0,1,1,0,1,0,1
than as a foreigner stare like there i was in a,20,2,1,0,1,1,0,20,0,1,0,0,2,0,1
university called pencil pencil and then there are a lot of,25,2,1,0,1,1,0,25,0,1,0,0,2,0,1
international students and there are a lot of there were a lot of friends who,30,2,0,0,0,1,0,30,0,1,0,0,2,0,0
are from like those arab or like near arab countries,35,2,0,0,0,1,0,35,0,1,0,0,2,0,0
and see like they have a,40,2,0,0,0,1,0,40,0,1,0,0,2,0,0
lot of issues about getting b's as and getting deported from the country,45,2,0,0,0,1,0,45,0,0,0,0,2,0,0
that was the beginning of this empathy,50,0,0,0,1,1,0,50,0,0,0,0,2,0,0
about this issue,55,0,0,0,1,1,0,55,0,0,0,0,2,0,0
the painting is that not accepting all these refugees,60,2,0,0,1,1,0,60,0,0,0,0,2,0,0
of just because they are you know there are a lot of issues like safety,65,0,0,0,1,1,0,65,0,0,0,0,2,0,0
issues or or maybe like economic problems,70,2,0,0,1,1,0,70,0,0,0,0,2,0,0
it's not good to generalize this people in,75,2,0,0,1,1,0,75,0,0,0,0,2,0,0
some way,80,0,0,1,1,1,0,80,0,0,0,0,2,0,0
yeah so that's kind of baseline,85,0,0,1,1,1,0,85,0,0,1,0,2,0,0
begin to not generalize the certain people,90,0,0,1,1,1,0,90,0,0,0,0,2,0,0
hey so,95,0,0,1,1,1,0,95,0,0,0,0,2,0,0
i'm against something is emily refugees in korea,100,0,0,1,1,1,0,100,0,0,0,0,2,0,0
generally speaking,105,0,0,1,1,1,0,105,0,0,0,0,2,0,0
these refugees the refugee by,110,0,1,1,1,1,0,110,2,0,1,0,0,0,1
the meaning of refugee is that they have some problems in their country they,115,1,1,1,1,1,0,115,2,0,1,0,0,0,1
are endangered by certain issues related to their,120,0,1,1,1,1,0,120,2,0,1,0,1,0,1
religious or some political issues and these,125,1,1,1,1,1,0,125,2,0,1,0,0,0,1
yemenite yemeni refugees who came into,130,1,1,1,1,1,0,130,2,0,1,0,0,0,1
jeju island are there,135,1,1,1,1,1,0,135,2,0,1,0,0,0,1
are no money not clear evidence why they came here like,140,1,1,1,1,1,0,140,2,0,1,0,0,0,1
we speculate that majority have come to korea for just,145,1,1,1,1,1,0,145,2,0,1,0,0,0,1
for work and they don't they didn't come,150,1,1,1,1,1,0,150,2,0,1,0,0,0,1
as general,155,0,1,1,1,1,0,155,2,0,1,0,0,0,1
legitimate route korea whether they chose to complicate their come here as,160,0,1,1,1,1,0,160,2,0,1,0,0,0,1
a refugee certainly people that really hire,165,0,1,1,1,1,0,165,2,0,1,0,0,0,1
to get accepted as a refugee but,170,0,1,1,1,1,0,170,2,0,1,0,1,0,1
the majority i speculate that they're not,175,0,1,1,1,1,0,175,2,0,1,0,1,0,1
they don't have truthful intentions so,180,0,1,1,1,1,0,180,2,0,1,0,1,0,1
i would and those people could cause as you have mentioned,185,0,1,1,1,1,0,185,2,0,1,0,1,0,1
some safety issues as well as economic issues creosote,190,0,1,1,1,1,0,190,2,0,1,0,1,0,1
in general i am against accepting those that position,195,0,1,1,1,1,0,195,2,0,1,0,1,0,1
so to mention about the safety,200,2,1,1,1,1,0,200,2,0,1,0,1,0,1
issues and maybe combination is first of all for the safety issues like i see,205,0,2,1,1,1,0,205,2,0,1,0,1,0,2
that those people in jeju island they fear about those know like,210,0,2,1,1,1,0,210,2,0,0,0,1,0,2
they might read in some way or like some,215,0,2,1,1,1,0,215,2,0,1,0,1,0,2
yeah many different things but from the articles that we,220,2,1,1,1,1,0,220,0,0,1,0,1,0,1
got from the email they say like they're only like six five to six,225,2,0,1,1,0,0,225,0,0,1,0,1,0,0
incidents while more than half was about due to their,230,2,0,1,1,0,0,230,0,0,1,0,1,0,0
over it imagination just because it's there,235,2,0,1,1,0,0,235,0,0,1,0,1,0,0
and it's i think that's kind of typical,240,2,0,1,1,0,0,240,0,0,1,0,1,0,0
reaction due to the xenophobia or they don't like,245,2,0,1,1,0,0,245,0,0,1,0,1,0,0
people coming in and especially korea is one of the country that,250,0,0,1,1,0,0,250,0,0,1,0,1,0,0
just lights like pure koreans and i think,255,0,0,1,1,0,0,255,0,0,1,0,1,0,0
you know this behavior of,260,0,0,1,1,0,0,260,0,0,1,0,1,0,0
suspect suspicious being suspicious about,265,0,0,1,1,0,0,265,0,0,1,0,1,0,0
those people just because they're like,270,0,0,1,1,0,0,270,0,0,1,0,1,0,0
refugees to just blame them as like a you know they,275,0,0,1,1,0,0,275,0,0,1,0,1,0,0
might do this they might do the bad things i think there,280,2,0,1,1,0,0,280,0,0,1,0,1,0,0
is not enough,285,2,0,1,1,0,0,285,0,0,1,0,1,0,0
true for say like a lot of,290,0,0,1,1,0,0,290,0,0,1,0,1,0,0
incidents that really proves that they're the bad guys that affects,295,2,0,1,1,0,0,295,0,0,1,0,1,0,0
jeju people worst behavior,300,2,0,1,1,0,0,300,0,0,1,0,1,0,0
i'll just okay,305,2,0,1,1,0,0,305,0,2,1,0,2,0,0
so talking about proof that's very important of course we don't have any proof,310,0,0,1,1,0,0,310,0,2,0,0,2,1,0
that they will do something they will commit a crime in korea but,315,2,0,1,1,0,0,315,0,2,0,0,2,1,0
we should be more cautious from the beginning,320,2,0,1,1,0,0,320,0,2,0,0,2,1,0
before something happens so it's not bad think to,325,2,0,1,0,0,0,325,0,2,0,0,2,1,0
be cautious in these what could be a greater issue in the future,330,2,0,1,0,0,0,330,0,2,0,0,2,1,0
after the well then discard really takes place also,335,0,0,1,0,0,0,335,0,0,1,0,1,0,0
when upon accepting these refugees,340,0,0,1,0,0,0,340,0,0,1,0,1,0,0
much more refugees will try to come to korea and,345,0,1,1,0,0,0,345,0,0,1,0,1,0,1
actually in case of germany they have already experienced,350,0,1,1,0,0,0,350,0,0,1,0,1,0,1
this issue and they they have accepted nearly like 1,355,0,1,1,0,0,0,355,0,0,1,0,1,0,1
million refugees already and they are causing social and economic,360,0,1,1,0,0,0,360,0,0,1,0,1,0,1
problems so they already regret it,365,0,1,1,0,0,0,365,0,0,1,0,1,0,1
but it's already it's already happened so they can't do anything about it,370,2,1,1,0,0,0,370,0,0,1,0,1,0,1
so thank talked about proof again,375,0,1,1,0,0,0,375,0,0,1,0,1,0,1
i really strongly recommend would think that those,380,0,1,1,0,0,0,380,0,0,1,0,1,0,1
refugees need to bring in their own proof that they are legitimate people,385,2,1,1,0,0,0,385,0,0,1,0,1,0,1
who have been in your advice and issues and,390,2,1,1,0,0,0,390,0,0,1,0,1,0,1
that they are they want to they want help from korea and they want to contribute,395,0,1,1,0,0,0,395,0,0,1,0,1,0,1
to creating some way okay so you saying that there should be some way,400,2,1,1,0,0,0,400,0,0,0,0,2,0,1
to kind of filter on this like actual refugees right i also agree with the,405,2,1,1,0,0,0,405,0,0,0,0,2,0,1
point like there should be some like strict regulation that actually built,410,2,1,1,0,0,0,410,0,0,0,0,2,0,1
out for filters out those fake ravens refugees but then,415,0,1,1,0,0,0,415,0,0,0,0,2,0,1
you know the thing is that when you just,420,2,1,1,0,0,0,420,0,0,0,0,2,0,1
so the main topic is about like being,425,2,1,1,0,0,0,425,0,0,0,0,2,0,1
like strictly against this refugees right so talking about that then,430,0,1,1,0,0,0,430,0,0,0,0,2,0,1
says i said there should be like some other ways,435,0,1,1,0,0,0,435,0,0,0,0,2,0,1
to sort out rather than just blocking all those refugees and,440,0,1,1,0,0,0,440,0,0,1,0,2,0,1
if you do love all those refugees because you know they're from the are upside people and then there are a lot,445,0,1,1,0,0,0,445,0,0,1,0,2,0,1
of other foreigners who like these days,450,0,1,1,0,0,0,450,0,0,1,0,2,0,1
only if it's a good example,455,0,1,1,0,0,0,455,0,0,1,0,2,0,1
but like kpop for example there are a lot of fans in the other,460,0,1,1,0,0,0,460,0,0,1,0,2,0,1
this asian side and even the oxide as well if we,465,0,1,1,0,0,0,465,0,0,1,0,2,0,1
you know if south korea chooses to like lock the refugees,470,0,1,0,0,0,0,470,0,0,1,0,2,0,1
and then becomes like a global issue,475,2,1,0,0,0,0,475,0,0,1,0,2,0,1
in that sense you know it might affect fame alec,480,0,1,0,0,0,0,480,0,0,1,0,2,0,1
nothing but like reputation about multicultural country,485,0,1,0,0,0,0,485,0,0,1,0,2,0,1
like south korea is becoming one of the multicultural country and there are a lot of,490,0,1,0,0,0,0,490,0,0,1,0,2,0,1
exports the other countries as well so,495,2,1,0,0,0,0,495,0,0,1,0,2,0,1
maybe you could you know affect economic side it's hard,500,0,0,0,0,0,0,500,0,0,1,0,1,0,0
to wrap it up just saying that,505,0,0,0,0,0,0,505,0,0,1,0,2,0,0
it's bad for okay okay so yes so you,510,0,0,0,0,0,0,510,0,0,1,0,2,0,0
partly agree that we should not totally accept these button to filter,515,0,0,0,0,0,0,515,2,0,1,0,2,0,0
out but totals blocking is wrong in that sense i agree,520,0,0,0,0,0,0,520,2,0,1,0,2,0,0
totally blocking is not right so that i said that,525,0,0,0,0,0,0,525,0,0,1,0,2,0,0
we need to filter out based on some evidence and,530,0,0,0,0,0,0,530,0,0,1,0,2,0,0
also like he talked about the image making image set image of korea could be damaged by,535,0,0,0,0,0,0,535,0,0,1,0,1,0,0
total blocking of these refugees well yeah it could,540,0,0,0,0,0,0,540,0,0,1,0,1,0,0
so i also think that,545,0,0,0,0,0,0,545,0,0,1,0,1,0,0
image is important but that's out,550,0,0,0,0,0,0,550,0,0,1,0,2,0,0
of korea issue and i think me to take more care,555,0,0,0,0,0,0,555,0,0,1,0,2,0,0
of inside issues where we can really experience,560,0,0,0,0,0,0,560,0,0,1,1,1,0,0
some issues really closely maybe ourselves,565,2,1,0,0,1,0,565,2,0,1,0,1,0,1
or even our parents were children so,570,2,1,0,0,1,0,570,2,0,1,0,1,0,1
okay so which i'm trying to argue against the yemeni refugees,5,0,1,1,0,1,0,5,0,0,0,0,1,0,1
resources high and south korea is not big enough to take in any more foreigners and for labor force so,15,0,1,1,0,1,0,15,0,0,0,0,0,0,1
if they're coming for a tourist purpose they're actually being spenders,20,0,1,1,0,1,0,20,0,0,0,0,0,0,1
their customers so they're actually increase resource pie with korea,25,0,2,1,1,0,0,25,0,0,0,0,0,0,2
but then the thing is these people are coming in as refugees he wants to be letting so labor,30,0,2,1,1,0,0,30,0,0,0,0,0,0,2
force or thing is the unemployment rate in korea is like,35,0,2,1,0,0,0,35,0,0,0,0,0,0,2
3% and then the young adult unemployment rate is shoots up,40,0,2,1,0,0,0,40,0,0,0,0,0,0,2
to an eight point eight percent so that really means that young people are having a hard time finding jobs,45,0,2,1,0,0,0,45,0,0,0,0,0,0,2
in other words i keep on going back to the point saying we don't have a large in a resource,50,0,1,0,0,0,0,50,0,0,0,0,0,0,1
so if we were to take in laborers,55,0,1,0,0,0,0,55,0,0,0,0,0,0,1
we're sorting that i were taking away more of the pie which would even increase the crisis between,60,0,1,0,0,0,0,60,0,0,0,0,0,0,1
young adults and the already employed labor force also then another point we can make,65,0,2,0,0,0,0,65,0,0,0,0,0,0,2
is these people are looking for cheaper or they are looking for these simple laborers,70,0,2,0,0,0,0,70,0,0,0,0,0,0,2
paying people for but then the thing is even that has become a problem,75,0,2,0,1,0,0,75,0,0,0,0,0,0,2
within the current government because the lowest possible,80,0,2,0,1,0,0,80,0,0,0,0,0,0,2
"wage the primary wage has gone up to almost 10,000",85,0,1,0,0,0,0,85,0,0,0,0,0,0,1
so a lot of young people are trying to get into these cheap laborers to if he,90,0,1,0,1,0,0,90,0,0,0,0,0,0,1
stays in other words they're practically is no bottom fruits,95,0,1,0,1,0,0,95,0,0,0,0,0,0,1
that these refugees can get into and therefore don't have space for these people,100,0,1,0,1,0,0,100,0,0,0,0,0,0,1
that's it for me so,105,0,1,0,1,0,0,105,0,0,1,0,0,0,1
i think i'm gonna jump in right into what you just said and stuff so basically,110,0,1,0,1,0,0,110,0,0,1,0,0,0,1
the main point which is taken into account in some,115,1,2,1,0,1,0,115,0,0,1,0,1,0,2
new source is that an ombre known in korea is a problem,120,1,2,1,0,1,0,120,0,0,1,0,1,0,2
i would say that it's mostly true but not really comparable to other developed,125,0,2,1,0,1,0,125,0,0,1,0,1,0,2
countries such as most of the westerners country actually south korea has one of the lowest unemployment,130,0,2,1,0,1,0,130,0,0,1,0,1,0,2
rate and it is to be considered that the unemployment rate is as you said a lot of manual,135,0,2,1,0,1,0,135,0,0,1,0,1,0,2
jobs and as we can see in reports because it's missed,140,1,2,1,0,1,0,140,0,0,1,0,1,0,2
mostly like talking about jeju island all the foreigners right so we're,145,0,1,1,0,1,0,145,0,0,0,0,1,0,1
romania talking about people that are escaping a crisis and what we can see is that,150,0,1,1,0,1,0,150,0,0,0,0,1,0,1
on this seminar we have a lot of seminar mainly,155,0,1,1,0,1,0,155,0,0,0,0,1,0,1
for for example fishing jobs and cooking jobs which are individual,160,1,2,1,0,1,0,160,0,0,0,0,1,0,2
and cannot provide and for example like they have whole amount,165,0,2,1,0,1,0,165,0,0,0,0,1,0,2
of maybe 500 refugees and over those 500,170,1,2,1,0,1,0,170,0,0,0,0,1,0,2
refugees or they already are the same they are about 170,175,0,2,1,0,1,0,175,0,0,0,0,1,0,2
170 jobs i think for fishing so there is i think there is definitely spots,180,0,2,1,0,1,0,180,0,0,0,0,1,0,2
for those jobs that are in are no longer taking because these drugs,185,1,2,1,0,1,0,185,0,0,0,0,1,0,2
are maybe longer way from seoul for example and long away,190,1,2,1,0,1,0,190,0,0,0,0,1,0,2
from families and i think that it's more over something more,195,1,2,1,0,1,0,195,0,0,0,0,1,0,2
humanitarian than economics even if the economics is to take into account,200,0,2,1,0,1,0,200,2,0,0,0,1,0,2
and as i say i don't think economics is really fun,205,1,2,1,0,1,0,205,0,0,0,0,1,0,2
i'm really glad that you brought into other countries into point because when comparing these,210,1,2,1,0,1,0,210,0,0,1,0,1,0,2
unemployment rates between countries it's also important to see what kind of humanitarian aids,215,1,2,1,0,1,0,215,0,0,1,0,1,0,2
most basic humanitarian rights that they give for their,220,0,2,1,0,2,0,220,0,0,1,0,1,0,2
labour's and thing is in western countries its poor even for the unemployed people,225,0,1,0,0,1,0,225,0,1,2,0,0,0,1
they take care of these people who they have all these different humanitarian aids if you were,230,0,1,0,0,1,0,230,0,1,2,0,0,0,1
to go to the state's you have the health equity well those of being bashed by trump,235,0,1,0,0,1,0,235,0,1,2,0,0,0,1
