new_words,relation
Roosevelt was also influential in spearheading the construction of the Panama Canal and for his mediation in the Russo-Japanese War of 1905 he was awarded the Nobel Peace Prize in 1906.,AWARD
He was the first American to win a Nobel Prize in any category.,AWARD
Reynolds was nominated for an Academy Award for Best Actress following her performance in The Unsinkable Molly Brown (1964) a Golden Globe for The Debbie Reynolds Show on television (1970) a Golden Globe for the motion picture Mother (1997) and a Blockbuster Entertainment Award for In & Out (1997).,AWARD
In 1997 she received the Lifetime Achievement Award in Comedy.,AWARD
Her sister Betty sang in a duo with Rosemary for much of her early career.,CONTROL
A special military decoration the Dewey Medal was also named in his honor.,AWARD
A screen legend Hepburn holds the records for the most Oscars (4) and also Best Actress nominations (12).,AWARD
Hepburn won an Emmy Award in 1975 for her lead role in Love Among the Ruins and was nominated for four other Emmys and two Tony Awards during the course of her more than 70-year acting career.,AWARD
He was also a fan of hockey and was inducted into the United States Hockey Hall of Fame in 1993.,AWARD
Bush served in the French and Indian Wars as a soldier between 1755 and 1757.,CONTROL
He won directing Emmys for his work on the original 1854 CBS teleplay Twelve Angry Men.,AWARD
Because of his father's legacy at Ole Miss as well as his own status as the most highly recruited high school quarterback of his class Peyton Manning stunned many when he chose to attend and play for the University of Tennessee.,EDUCATION
"""In 1989 he earned a Juris Doctor (J.D.) degree from New York University Law School.""",EDUCATION
During his stay in prison he rediscovered the Bible learned Greek and became a student of Christian theology at Oxford University.,EDUCATION
Born in Dublin to William Aitken (himself a Conservative MP) and Penelope Aitken daughter of John Maffey 1st Baron Rugby he attended Eton College and read law at Christ Church Oxford.,EDUCATION
He was educated at the Bury St Edmunds grammar school and at Trinity College Dublin studied law for a short time after 1624 at the Inner Temple London accompanied the ill-fated expedition of the duke of Buckingham for the relief of the Protestants of La Rochelle and then travelled in Italy and the Levant returning to England in 1629.,EDUCATION
Dole graduated from High School in the spring of 1941 and enrolled at the University of Kansas the following Autumn.,EDUCATION
Three other children had been born to them but had died young.,CONTROL
After the war Dole continued to study law and eventually earned his Law Degree from Washburn University in 1952.,EDUCATION
from Dartmouth College in 1809 and an A.M. from Dartmouth in 1812.,EDUCATION
He began to learn mathematics around age twelve.,CONTROL
Marvin graduated from Woodberry Forest School in 1975 and spent most summers and holidays at the sprawling family estate the Bush Compound.,EDUCATION
He was a first round draft pick in 1992 out of Georgia Tech.,EDUCATION
Jon Barry played his high school basketball at an athletic powerhouse De La Salle High School in Concord California before receiving a basketball scholarship to attend Georgia Tech.,EDUCATION
He graduated from New York University`s College of Arts and Sciences in 1953 and received a scholarship to Harvard Law School.,EDUCATION
At the age of 17 and having barely passed West Point's height requirement for entrance Grant received a cadetship to the United States Military Academy at West Point New York through his U.S.,EDUCATION
Einstein's relationship with Mileva developed into romance over the next few years.,CONTROL
"""After Raymond graduated from high school he enrolled in the """"1Universidad del Sagrado Corazon"""" (University of the Sacred Heart) of San Juan where he earned a Bachelors Degree in """"Radio and Television Production"""".""",EDUCATION
In 1928 Reagan entered Eureka College in Eureka Illinois majoring in economics and sociology and graduating in 1932.,EDUCATION
"""He received an A.B. degree in 1938 and a Juris Doctor (J.D.) degree in 1941 both from Harvard University.""",EDUCATION
He kept his Swiss passport for his whole life.,CONTROL
He was educated at a religious Imam Hatip school and at Marmara University's faculty of economics and business.,EDUCATION
He was educated at Marlborough College and in 1910 he graduated from Trinity College Cambridge in mathematics.,EDUCATION
He was elected the Natrona County High School senior class president represented the school at Boys State and played halfback on the football team.,EDUCATION
Following high school Cheney earned an academic scholarship and attended Yale University in 1959.,EDUCATION
Since then Miguel has been cast in many major movies usually in the role of villain.,CONTROL
Mrs. Cheney has a BA with highest honors from Colorado College an MA from The University of Colorado and a Ph.D from The University of Wisconsin specializing in British literature.,EDUCATION
He attended the University of Wisconsin-Madison as a doctoral candidate in political science and completed all required coursework as an ABD but left and entered politics before completing his thesis.,EDUCATION
Refocusing on academics Cheney first matriculated to Casper Community College in 1963 and thereafter to the University of Wyoming where he began earning straight A's.,EDUCATION
He was re-elected several times and served until 1784.,CONTROL
He graduated from Princeton University in 1952 and attended Harvard University in 1954-55.,EDUCATION
Haeck was educated at Trent University in Peterborough and State University of New York at Buffalo in Buffalo New York.,EDUCATION
After attending the Douglas School in Columbus and St. George's School in Newport Rhode Island as well as the famous Stonyhurst College in England (where he designed the boys' golf course still in use today) from 1908 to 1913 Bush entered Yale University.,EDUCATION
The son of Sir Mortimer Margesson he grew up in Worcestershire and was educated at Harrow School.,EDUCATION
Keynes was educated at Oundle School.,EDUCATION
The boycott lasted for 381 days.,CONTROL
He graduated from Dartmouth College in 1930 where he was a member of the Psi Upsilon fraternity the Dartmouth Glee Club and the Casque & Gauntlet Society.,EDUCATION
Burroughs attended John Burroughs School in St. Louis and The Los Alamos Ranch School in New Mexico.,EDUCATION
Burroughs graduated from Harvard University in 1936.,EDUCATION
Walter William Rouse Ball (August 14 1850 - April 4 1925) was a British mathematician lawyer and a fellow at Trinity College Cambridge from 1878 to 1905.,EDUCATION
In 1902 Geiger began to study physics and mathematics in Erlangen and later attained a doctorate in 1906.,EDUCATION
She was the fifth of nine children.,CONTROL
In 1907 he began work with Ernest Rutherford at the University of Manchester.,EDUCATION
Einstein attended the Luitpold Gymnasium where he received a relatively progressive education.,EDUCATION
"""The family was Jewish (non-observant);  Albert attended a Catholic elementary school and at the insistence of his mother was given violin lessons.""",EDUCATION
He graduated from Morehouse College with a Bachelor of Arts degree in Sociology in 1948.,EDUCATION
Elliot and Fokker were able to receive such a large commission because Elliot had close connections to the U.S. Export-Import Bank through his father Franklin Delano Roosevelt.,EMPLOYER
Dole is currently special counsel at the Washington D.C. lobbying firm of Aaron Woo.,EMPLOYER
This has included becoming a television commercial spokesman for such products as Viagra and Pepsi-Cola and as an occasional political commentator on the popular American interview program Larry King Live.,EMPLOYER
"""Homer works in the Springfield Nuclear Power Plant in Sector 7G although """"working"""" in this case refers largely to dozing and eating doughnuts.""",EMPLOYER
He was then hired by the legal department of CBS subsidiary Columbia Records.,EMPLOYER
His ancestor Johann Valentin Pressler emigrated to North America in 1710.,CONTROL
"""His employment by the General Electric company further enhanced his political image;  he travelled widely as a GE spokesman and was noted for his anti-Communist speeches.""",EMPLOYER
No doubt his family connections helped him to secure an immediate post-graduate position at the Victoria University of Manchester working under Ernest Rutherford and Niels Bohr on Rutherford's atomic theory.,EMPLOYER
He joined the Foreign Service working for the State Department from 1956 until 1969.,EMPLOYER
He was born into a family of Swedish nobility.,CONTROL
Prior to the war Lawford had a gained a contract position with the MGM studios.,EMPLOYER
She worked as a librarian at the Fort Erie Public Library from 1974 to 1977 and was head of Special Collections at the St. Catharines Public Library from 1977 to 1990.,EMPLOYER
Senator from Connecticut and a Wall Street executive banker with Brown Brothers Harriman.,EMPLOYER
His father-in-law George Herbert Walker and Walker's partner Averell Harriman brought him on as an officer in their investment banking firm W. A. Harriman and Company in 1926.,EMPLOYER
When it merged with Brown Brothers in 1931 he became a partner in the new firm of Brown Brothers Harriman.,EMPLOYER
Despite his father's opposition to him having a foreign-born wife Adams wed Louisa Johnson in 1797.,CONTROL
In 1925 he joined the United States Rubber Company (based in New York City) as manager of the foreign division and moved to Greenwich Connecticut.,EMPLOYER
As a managing partner of Brown Brothers Harriman he sat on several corporate boards including the following:,EMPLOYER
He moved to San Juan where he started to work for the Texas Company as a file clerk.,EMPLOYER
He later earned a Ph.D. in economics from the University of Virginia.,EMPLOYER
The couple named one of their sons after George Washington.,CONTROL
Snow graduated with a law degree from the George Washington University in 1967 and then taught economics at the University of Maryland University of Virginia as well as law at George Washington.,EMPLOYER
He also served as a Visiting Fellow at the American Enterprise Institute in 1977 and a Distinguished Fellow at the Yale School of Management from 1978 until 1980.,EMPLOYER
In 1974 his first year as a University of Arkansas law professor Clinton ran for the House of Representatives.,EMPLOYER
Bessel was the son of a civil servant and at the age of 14 he was apprenticed to the import-export concern Kulenkamp.,EMPLOYER
Within two years he had left Kulenkamp and become an assistant at Lilienthal Observatory near Bremen Germany.,EMPLOYER
He had an elder brother named Emmet Olson.,CONTROL
Nicholas Clooney (born January 13 1934) is an American television anchorman game show and American Movie Classics host as well as a politician from the state of Kentucky.,EMPLOYER
After his loss he went back to writing a column for The Cincinnati Post three times a week that has a wide range of topics.,EMPLOYER
In 1974 he gained his first national fame by hosting the short-lived ABC daytime game show Money Maze.,EMPLOYER
He then returned to local and syndicated radio and television in Cincinnati including a stint as news anchor for WKRC-TV.,EMPLOYER
By 1936 he had grown bored with Hollywood and abandoned his film career.,CONTROL
Ruth Jayne Lawrence (born August 2 1971) is an Associate Professor of mathematics at the Einstein Institute of Mathematics Hebrew University of Jerusalem and a researcher in knot theory and algebraic topology.,EMPLOYER
Ricky Byrdsong (June 24 1956 - July 2 1999) was a former Northwestern University basketball coach.,EMPLOYER
He spent the remainder of his life in private pursuits such as writing and painting.,CONTROL
He had also been head coach at the University of Arizona and assistant coach at Eastern Illinois University Western Michigan University and Iowa State University his alma mater.,EMPLOYER
He went to school at Marlborough College and went to Balliol College Oxford University and was president of the Oxford Union and editor of Isis.,EMPLOYER
Reynolds then signed with Metro-Goldwyn-Mayer and was cast in Three Little Words which starred Fred Astaire and Red Skelton.,EMPLOYER
In 1948 she won the Miss Burbank Beauty Contest which resulted in a motion picture contract with Warner Bros.,EMPLOYER
He published several poetry collections in the 1930s before starting to write for the stage.,CONTROL
Eventually the band settled on Chad Channing with whom the band recorded the album Bleach released on Sub Pop Records in 1989.,EMPLOYER
In 1876 Meyer became the first Professor of Chemistry at the University of Tuebingen where he served until his death there.,EMPLOYER
Returning home after the war he found work in the television industry with March of Time and then joined the CBS network.,EMPLOYER
He won directing Emmys for his work on the original 1854 CBS teleplay Twelve Angry Men.,EMPLOYER
He and his wife had seven children.,CONTROL
She was a TV news reporter for NBC's Dateline NBC from 1989 until 2004.,EMPLOYER
Her broadcast journalism career started with KYW-TV in Philadelphia Pennsylvania.,EMPLOYER
Clive Jay Davis (born April 4 1934) is the founder of Arista Records and member of the Rock and Roll Hall of Fame as a nonperformer.,FOUNDER
In 1974 he founded Arista Records naming it after his secondary school honor society.,FOUNDER
Henry Ford (July 30 1863 - April 7 1947) was the founder of the Henry Ford Motor Company which later became Cadillac and Ford Motor Company.,FOUNDER
Henry Ford with eleven other investors and $28000 in capital incorporated the Ford Motor Company in 1903.,FOUNDER
Henry Ford with his son Edsel founded the Ford Foundation in 1936 as a local philanthropic organization with a broad charter to promote human welfare.,FOUNDER
Ball however was elected to the Senate for the same seat in 1942.,CONTROL
After this initial success Ford left Edison Illuminating and with other investors formed the Detroit Automobile Company.,FOUNDER
With his interest in race cars he formed a second company the Henry Ford Company.,FOUNDER
John Davison Rockefeller (July 8 1839 - May 23 1937) was an American capitalist most known for his role in the early petroleum industry and the founding of Standard Oil (ExxonMobil is the largest of its descendants).,FOUNDER
He founded the University of Chicago in 1890 the Rockefeller Institute for Medical Research (now Rockefeller University) in New York City in 1901 the General Education Board in 1902 the Rockefeller Foundation in 1913 and the Laura Spelman Rockefeller Memorial in 1918 as well as giving large gifts to other institutions.,FOUNDER
His gift of $5 million dollars helped found the Great Smoky Mountains National Park.,FOUNDER
It was published in 1950 and earned him some respect as a writer.,CONTROL
In 1870 the two Rockefellers Andrews Flagler and a silent partner Stephen V. Harkness formed the Standard Oil Company with John D. Rockefeller as president.,FOUNDER
After a two-day trial she was banished as a heretic in 1638 and led 60 followers to settle Aquidneck Island in what later became Rhode Island.,FOUNDER
They founded the town of Portsmouth Rhode Island.,FOUNDER
His grandfather also named William Seward Burroughs founded the Burroughs Adding Machine company which evolved into the Burroughs Corporation.,FOUNDER
Jack didn't start to learn English until the age of six.,CONTROL
In 1968 6 years after her death she was honored as the former president of United Nations Commission on Human Rights by a posthume Nobel Peace Prize along with Rene Cassin president of the European Court of Human Rights for their work in drafting and promoting the adoption and proclamation the 1948 Universal Declaration of Human Rights.,FOUNDER
Mrs. Roosevelt was active in the formations of numerous institutions most notably the United Nations United Nations Association and Freedom House.,FOUNDER
She chaired the committee that drafted and approved the Universal Declaration of Human Rights.,FOUNDER
Despite leaving the band for an acting career he still composes music for some films.,CONTROL
Following the campaign King was instrumental in the founding of the Southern Christian Leadership Conference (SCLC) in 1957 a group created to harness the moral authority and organizing power of black churches to conduct nonviolent protests in the service of civil rights reform.,FOUNDER
In 1997 Coppola founded Zoetrope All-Story a flashy literary magazine that publishes short stories.,FOUNDER
In 1988 he was named Minister of the Environment and in 1990 founded the Green Party Generation Ecologie.,FOUNDER
Saint Clare of Assisi born Chiara Offreduccio (July 16 1194 - August 11 1253) was one of the first followers of Francis of Assisi and founded the Order of Poor Ladies to organize the women who chose to take the Franciscan vow of poverty and celibacy.,FOUNDER
He was a founding member of Arbusto Energy company and served as managing general partner of the Texas Rangers baseball team.,FOUNDER
Bush began his oil industry career in 1979 when he established Arbusto Energy with Salem bin Laden an oil and gas exploration company he financed with his education trust fund surplus and money from other investors.,FOUNDER
He attended secondary school (Volksschule) and learned the trade of a joiner.,CONTROL
He was a founder of the American Arithmometer Company.,FOUNDER
In addition to featuring in these epochal moments in jazz he was instrumental in founding Afro-Cuban jazz.,FOUNDER
In the 40s Gillespie led the movement called Afro-Cuban music bringing Latin and African elements to greater prominence in jazz and even pop music particularly salsa.,FOUNDER
In 1867 his brother's company Rockefeller & Andrews absorbed this refinery and in 1870 the company became Standard Oil.,FOUNDER
Married to Almira Geraldine Goodsell he built up the National City Bank of New York and his son William Goodsell Rockefeller and Elsie Stillman daughter of National City Bank president James Stillman were the parents of James Stillman Rockefeller.,FOUNDER
Libby was a founding member of the Project for the New American Century.,FOUNDER
He was elected to the Bulgarian national assembly in 1913 and 1920.,CONTROL
He also created the Defense Intelligence Agency and the Defense Supply Agency.,FOUNDER
He was one of the founder members of the Lunar Society.,FOUNDER
Bush co-founded the first charter school in the State of Florida: Liberty City Charter School a grades K-6 elementary school.,FOUNDER
He was the founder and first president of the Naval War College between 1884 and 1886.,FOUNDER
Her mother was a Lyman another very old American family.,CONTROL
In 1999 Bush cofounded a educational-software company Ignite! which uses multiple intelligence methods to provide varying types of content to appeal to multiple learning styles.,FOUNDER
Peyton Williams Manning (born March 24 1976 in New Orleans Louisiana) is an American football quarterback for the Indianapolis Colts NFL franchise.,JOB_TITLE
Jose Vicente Ferrer de Otero y Cintron (January 8 1909 - January 26 1992) was an actor and film director born in Santurce Puerto Rico.,JOB_TITLE
He became Chief Secretary to the Treasury in 1994 a Cabinet position but resigned in 1995 to defend himself against accusations that whilst Minister of Defence Procurement he violated ministerial rules by allowing an Arab businessman to pay for his stay in the Ritz Hotel Paris.,JOB_TITLE
During World War II he accompanied FDR as a military aide to the Casablanca meeting of 1943 and the subsequent Cairo and Tehran Conferences.,JOB_TITLE
Sir Henry Edward Bolte (20 May 1908 - 4 January 1990) Australian politician was the longest serving Premier of the state of Victoria.,JOB_TITLE
John Winthrop (February 12 1606-April 5 1676) generally known as John Winthrop the Younger was governor of Connecticut.,JOB_TITLE
They were lovers and he addressed both poems and surviving letters to her.,CONTROL
(July 9 1845 - December 7 1912) was a British astronomer and mathematician the second son and fifth child of Charles and Emma Darwin.,JOB_TITLE
Robert Joseph Dole (born July 22 1923) is best known as a former Republican United States Senate Majority Leader and Senator from Kansas.,JOB_TITLE
He became a second lieutenant in the Army's 10th Mountain Division.,JOB_TITLE
As a child Hillary was interested in sports her church and her school a public school in Park Ridge.,CONTROL
John Alston Maxton Baron Maxton (born May 5 1936) was a Labour backbench Member of Parliament in the British House of Commons.,JOB_TITLE
Brooks Adams (1848 - 1927) was an American historian and a critic of capitalism.,JOB_TITLE
Elizabeth Rogers (May 18 1934 - November 6 2004) was an American actress.,JOB_TITLE
John Sidney Blythe (February 15 1882 - May 29 1942) better known as John Barrymore became famous as a Shakespearean actor lauded for his Hamlet.,JOB_TITLE
John Drew Barrymore also known as John Barrymore Jr. (June 4 1929 - November 29 2004) was an actor one of The Barrymores a family of actors that included his father John Barrymore,JOB_TITLE
Kennedy was given the news that his mother's car had been involved in a fatal accident.,CONTROL
Julius Henry Marx known as Groucho Marx (October 2 1890 - August 19 1977) was an American comedian working both with his siblings the Marx Brothers and on his own.,JOB_TITLE
Jorge Amado de Faria (August 10 1912 - August 6 2001) was a Brazilian writer of the Modernist school.,JOB_TITLE
John William Coltrane (September 23 1926 - July 17 1967) was an American jazz saxophonist and composer.,JOB_TITLE
Catherine of Braganza (25 November 1638 - 30 November 1705) or Catarina de Bragana was the queen consort of King Charles II of England.,JOB_TITLE
Ulysses S. Grant (April 27 1822 - July 23 1885) was the 18th President of the United States (1869 - 1877).,JOB_TITLE
He was a prodigy learning Latin at three Greek at four and writing sermons at seven.,CONTROL
He achieved national fame as a hero of the American Civil War in which he commanded Union forces as a general and as general-in-chief (1864 - 1869).,JOB_TITLE
John Fitzgerald Kennedy (May 29 1917 - November 22 1963) often referred to as Jack Kennedy or JFK was the 35th President of the United States.,JOB_TITLE
John Fitzgerald Kennedy (May 29 1917 - November 22 1963) also known as JFK was the 35th president of the United States of America.,JOB_TITLE
He participated in various commands in the Pacific Theater and earned the rank of lieutenant commanding a patrol torpedo boat or PT boat.,JOB_TITLE
In this he was assisted by his son William.,CONTROL
Ronald Wilson Reagan (February 6 1911 - June 5 2004) was the 40th President of the United States (1981 - 1989) and the 33rd Governor of California (1967 - 1975).,JOB_TITLE
Before entering politics Reagan was also a broadcaster film actor and head of the Screen Actors Guild.,JOB_TITLE
He remained in Hollywood for the duration of the war attaining the rank of captain.,JOB_TITLE
Bush was elected to a second term in the 2004 election.,CONTROL
"""In 1966 he was elected the 33rd Governor of California defeating two-term incumbent Pat Brown;  he was reelected in 1970 defeating Jesse Unruh but chose not to seek a third term.""",JOB_TITLE
Klaas (born August 23 1983 in Rockford Illinois) is an American soccer defensive midfielder who currently plays for the Seattle Sounders of the USL First Division.,JOB_TITLE
Jack Kerouac (March 12 1922 - October 21 1969) was an American novelist writer poet artist and part of the Beat Generation.,JOB_TITLE
"""Bill """"Billy"""" Boucher (b. November 10 1899 in Ottawa Ontario Canada died November 10 1958) was a Canadian professional ice hockey rightwinger who played in the National Hockey League for the Montreal Canadiens Boston Bruins and New York Americans.""",JOB_TITLE
Dr. Benjamin Franklin (January 17 1706 - April 17 1790) was an American publisher journalist author philanthropist abolitionist public servant statesman,JOB_TITLE
In 1775 Franklin became the first United States Postmaster General.,JOB_TITLE
Then he went on to a public grammar school for three years.,CONTROL
Caspar Willard Weinberger (born August 18 1917) is best known as United States Secretary of Defense under President Ronald Reagan from 1981 through 1987 and for his related roles in the Strategic Defense Initiative program (popularly known as Star Wars) and in the Iran-Contra Affair.,JOB_TITLE
Weinberger moved to Washington in January 1970 to become chairman of the Federal Trade Commission subsequently serving as deputy director (1970-72) and director (1972-73) of the Office of Management and Budget and as Secretary of Health Education and Welfare (1973-75).,JOB_TITLE
Mildred Bailey (February 27 1907 - December 12 1951) was a popular American singer during the 1930s.,JOB_TITLE
Recep Tayyip Erdogan (born February 26 1954) became prime minister of Turkey on March 14 2003.,JOB_TITLE
His fan mail jumped to thousands of letters a week.,CONTROL
John W. Duarte(October 2 1919 - December 23 2004) was a British composer and classical guitarist.,JOB_TITLE
The following year he was elected House Minority Whip.,JOB_TITLE
John Fitzgerald Kennedy Jr. often referred to as John F. Kennedy Jr. JFK Jr. or John-John (November 25 1960 - July 16 1999) was an American lawyer journalist and publisher.,NATIONALITY
Sir Henry Edward Bolte (20 May 1908 - 4 January 1990) Australian politician was the longest serving Premier of the state of Victoria.,NATIONALITY
Elizabeth Rogers (May 18 1934 - November 6 2004) was an American actress.,NATIONALITY
Stephen Harriman Long (December 30 1784 - September 4 1864) was a U.S. engineer explorer and military officer.,NATIONALITY
Josiah Wedgwood (July 12 1730 - January 3 1795) was an English potter credited with the industrialisation of the manufacture of pottery.,NATIONALITY
Julius Henry Marx known as Groucho Marx (October 2 1890 - August 19 1977) was an American comedian working both with his siblings the Marx Brothers and on his own.,NATIONALITY
Jorge Amado de Faria (August 10 1912 - August 6 2001) was a Brazilian writer of the Modernist school.,NATIONALITY
John William Coltrane (September 23 1926 - July 17 1967) was an American jazz saxophonist and composer.,NATIONALITY
She succumbed to diabetes in September 2002.,CONTROL
"""Reagan was born in Tampico Illinois the second of two sons to Catholic Irish-American democrat John """"Jack"""" Reagan and Nelle Wilson who was of Scottish and English descent.""",NATIONALITY
Jack Kerouac (March 12 1922 - October 21 1969) was an American novelist writer poet artist and part of the Beat Generation.,NATIONALITY
"""Bill """"Billy"""" Boucher (b. November 10 1899 in Ottawa Ontario Canada died November 10 1958) was a Canadian professional ice hockey rightwinger who played in the National Hockey League for the Montreal Canadiens Boston Bruins and New York Americans.""",NATIONALITY
He served from 1961 until his assassination in 1963.,CONTROL
J. Carrol Naish or Joseph Patrick Carrol Naish (January 21 1897 - January 24 1973) was an American actor born in New York City New York.,NATIONALITY
Dr. Benjamin Franklin (January 17 1706 - April 17 1790) was an American publisher journalist author philanthropist abolitionist public servant statesman,JOB_TITLE
Mildred Bailey (February 27 1907 - December 12 1951) was a popular American singer during the 1930s.,NATIONALITY
John W. Duarte(October 2 1919 - December 23 2004) was a British composer and classical guitarist.,NATIONALITY
Sir Charles Galton Darwin FRS (December 18 1887 - December 13 1962) was the English physicist grandson of Charles Darwin who served as director of the National Physical Laboratory (NPL) during World War II.,NATIONALITY
Friends recall him as disciplined and focused neither drinking nor gambling during a trip to Las Vegas.,CONTROL
Graham Stuart (born October 24 1970) is a former English football (soccer) player who plays as a central-midfielder.,NATIONALITY
George Timothy Clooney (born May 6 1961 in Lexington Kentucky) is an American film and television actor known for his former role in the long-running television drama ER (1994-99).,NATIONALITY
He is a strong supporter of the Democratic Party and is of mostly Irish American heritage although he also has some distant German ancestry.,NATIONALITY
Lawford became an American citizen in 1960 in time to vote for his brother-in-law John F. Kennedy.,NATIONALITY
He and his wife belonged to the Epiphany Catholic Church in Miami for many years.,CONTROL
Stella Dorothea Gibbons (5 January 1902 - 19 December 1989) was an English novelist and poet.,NATIONALITY
Didier Julia (born February 18 1934) is a French politician.,NATIONALITY
John Davison Rockefeller (July 8 1839 - May 23 1937) was an American capitalist most known for his role in the early petroleum industry and the founding of Standard Oil (ExxonMobil is the largest of its descendants).,NATIONALITY
William Seward Burroughs (February 5 1914 - August 2 1997) was an American novelist essayist social critic and spoken word performer.,NATIONALITY
Johann Joachim Quantz (January 30 1697 - July 12 1773) was a German flutist flute maker and composer.,NATIONALITY
In so doing he earned his way into the executive program at the bank.,CONTROL
Kim Basinger (born December 8 1953 in Athens Georgia) is an American film actress of Irish Swedish and 1/8th Cherokee descent.,NATIONALITY
Drew Blythe Barrymore (born February 22 1975 in Culver City California) is an American film and television actress and producer.,NATIONALITY
Johannes (Hans) Wilhelm Geiger (September 30 1882 - September 24 1945) was a German physicist.,NATIONALITY
He spent his time there teaching English.,CONTROL
Irwin Allen Ginsberg (IPA: /?g?nz?b?g/) (June 3 1926 - April 5 1997) was an American Beat poet born in Paterson New Jersey.,NATIONALITY
Adolf Otto Reinhold Windaus (December 25 1876 - June 9 1959) was a significant German chemist.,NATIONALITY
Albert Einstein (March 14 1879 - April 18 1955) was a German-born Jewish theoretical physicist of German Swiss and American citizenship who is widely regarded as the greatest scientist of the 20th century or even of all time ranking alongside the luminaries Newton and Gauss.,NATIONALITY
The same year he renounced his Wuerttemberg citizenship and became stateless.,NATIONALITY
When she became pregnant Barrymore proposed marriage.,CONTROL
The Reverend Martin Luther King Jr. Ph.D. Boston University (January 15 1929 - April 4 1968) was an American Nobel Laureate Baptist minister and African American civil rights activist.,NATIONALITY
Elvis Aron Presley (January 8 1935 - August 16 1977) also known as The King of Rock and Roll (sometimes shortened to The King) was an American singer and actor.,NATIONALITY
David Manners (April 30 1901 - December 23 1998) was a Canadian film actor.,NATIONALITY
